site,title,snapshot_tstamp,market_tag,site_url
Wall Street Journal,Protesters Retreat From U.S. Embassy Site in Iraq,20200101195529,market close,http://web.archive.org/web/20200101195529/https://www.wsj.com/
Wall Street Journal,"Drug Prices Climb by 5.8% on Average, Less Than Last Year",20200102200931,market close,http://web.archive.org/web/20200102200931/https://www.wsj.com/
Wall Street Journal,Tensions Rise in the Middle East After U.S. Killing of Iranian Military Leader,20200103185247,market close,http://web.archive.org/web/20200103185247/https://www.wsj.com/
Wall Street Journal,Thousands March in Iraq for Iranian Commander Killed in U.S. Airstrike,20200104200913,market close,http://web.archive.org/web/20200104200913/https://www.wsj.com/
Wall Street Journal,Iraqi Parliament Votes to Expel U.S. Troops as Iran Mourns Slain General,20200105194954,market close,http://web.archive.org/web/20200105194954/https://www.wsj.com/
Wall Street Journal,Iranians Rally as Calls for Revenge on U.S. Deepen,20200106200019,market close,http://web.archive.org/web/20200106200019/https://www.wsj.com/
Wall Street Journal,Iran Threatens Retaliatory Attack; General’s Burial Delayed After Stampede,20200107203025,market close,http://web.archive.org/web/20200107203025/https://www.wsj.com/
Wall Street Journal,Trump Doesn’t Signal Further Military Strikes After Iran’s Attack,20200108194342,market close,http://web.archive.org/web/20200108194342/https://www.wsj.com/
Wall Street Journal,U.S. Believes Ukraine Jet Was Shot Down by Iran,20200109200255,market close,http://web.archive.org/web/20200109200255/https://www.wsj.com/
Wall Street Journal,December Job Gains Cap a Decade of Rising Payrolls,20200110190712,market close,http://web.archive.org/web/20200110190712/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200111200000,market close,N/A
Wall Street Journal,"Iran Faces Growing Criticism at Home, Abroad Over Downing of Plane",20200112212546,market close,http://web.archive.org/web/20200112212546/https://www.wsj.com/
Wall Street Journal,"Iran, Grappling With Unrest Over Crash, Warns Protesters",20200113190258,market close,http://web.archive.org/web/20200113190258/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200115200000,market close,N/A
Wall Street Journal,"Trump Hold on Aid to Ukraine Violated Law, GAO Finds",20200116201906,market close,http://web.archive.org/web/20200116201906/https://www.wsj.com/
Wall Street Journal,"Trump to Add Starr, Dershowitz to Team for Senate Trial",20200117202311,market close,http://web.archive.org/web/20200117202311/https://www.wsj.com/
Wall Street Journal,CDC Removes Advice to Refrain From Vaping,20200118195900,market close,http://web.archive.org/web/20200118195900/https://www.wsj.com/
Wall Street Journal,How Trump Has Kept Solid GOP Support Through Impeachment,20200119192808,market close,http://web.archive.org/web/20200119192808/https://www.wsj.com/
Wall Street Journal,White House Calls Impeachment Charges Frivolous in Legal Brief,20200120200555,market close,http://web.archive.org/web/20200120200555/https://www.wsj.com/
Wall Street Journal,Impeachment Trial Begins With Debate Over Rules,20200121201245,market close,http://web.archive.org/web/20200121201245/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200122200000,market close,N/A
Wall Street Journal,Senators Dig In as Democrats Outline Impeachment Case,20200123195237,market close,http://web.archive.org/web/20200123195237/https://www.wsj.com/
Wall Street Journal,Democrats Argue Trump Impeded Impeachment Probe,20200124194337,market close,http://web.archive.org/web/20200124194337/https://www.wsj.com/
Wall Street Journal,Trump’s Defense Team Addresses Democrats’ Charges,20200125192426,market close,http://web.archive.org/web/20200125192426/https://www.wsj.com/
Wall Street Journal,Three More Cases of Coronavirus Confirmed in U.S.,20200126213709,market close,http://web.archive.org/web/20200126213709/https://www.wsj.com/
Wall Street Journal,Bolton’s Ukraine Claim Shifts Some Senators Toward Calling Witnesses,20200127201246,market close,http://web.archive.org/web/20200127201246/https://www.wsj.com/
Wall Street Journal,"Trump’s Peace Plan Charts Two-State Course for Israelis, Palestinians",20200128200117,market close,http://web.archive.org/web/20200128200117/https://www.wsj.com/
Wall Street Journal,Impeachment Trial Enters New Phase With Senate Q&A,20200129192710,market close,http://web.archive.org/web/20200129192710/https://www.wsj.com/
Wall Street Journal,Senators Begin Final Bid to Sway Vote on Trial Witnesses,20200130193648,market close,http://web.archive.org/web/20200130193648/https://www.wsj.com/
Wall Street Journal,Murkowski to Vote No on Witnesses at Impeachment Trial,20200131192857,market close,http://web.archive.org/web/20200131192857/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200201200000,market close,N/A
Wall Street Journal,Coronavirus Kills Its First Victim Outside China as Toll Grows,20200202200432,market close,http://web.archive.org/web/20200202200432/https://www.wsj.com/
Wall Street Journal,"Democrats, Trump Team Make Final Arguments of Trial",20200203202342,market close,http://web.archive.org/web/20200203202342/https://www.wsj.com/
Wall Street Journal,Most Iowa Results to Come Today After App Debacle,20200204195927,market close,http://web.archive.org/web/20200204195927/https://www.wsj.com/
Wall Street Journal,Romney Will Vote to Convict Trump Ahead of Expected Acquittal,20200205192949,market close,http://web.archive.org/web/20200205192949/https://www.wsj.com/
Wall Street Journal,Elliott Builds Stake of More Than $2.5 Billion in SoftBank,20200206200721,market close,http://web.archive.org/web/20200206200721/https://www.wsj.com/
Wall Street Journal,Hiring Strengthens as More Americans Look for Work,20200207202321,market close,http://web.archive.org/web/20200207202321/https://www.wsj.com/
Wall Street Journal,American Citizen With Coronavirus Dies in China,20200208212901,market close,http://web.archive.org/web/20200208212901/https://www.wsj.com/
Wall Street Journal,Trump to Propose $4.8 Trillion Budget With Big Safety-Net Cuts,20200209200922,market close,http://web.archive.org/web/20200209200922/https://www.wsj.com/
Wall Street Journal,Members of China’s Military Indicted Over Equifax Breach,20200210194616,market close,http://web.archive.org/web/20200210194616/https://www.wsj.com/
Wall Street Journal,U.S. Officials Say Huawei Can Covertly Access Networks,20200211204507,market close,http://web.archive.org/web/20200211204507/https://www.wsj.com/
Wall Street Journal,Candidates Set for Long Haul Following New Hampshire,20200212203352,market close,http://web.archive.org/web/20200212203352/https://www.wsj.com/
Wall Street Journal,U.S. Charges Chinese Tech Giant Huawei With Racketeering,20200213200621,market close,http://web.archive.org/web/20200213200621/https://www.wsj.com/
Wall Street Journal,States Reject Drug Distributors’ Offer to Settle Opioid Cases,20200214194605,market close,http://web.archive.org/web/20200214194605/https://www.wsj.com/
Wall Street Journal,Trump Administration Considers Halting GE Venture’s Engine Deliveries to China,20200215200936,market close,http://web.archive.org/web/20200215200936/https://www.wsj.com/
Wall Street Journal,U.S. Passengers Depart Cruise Ship Quarantined Over Coronavirus,20200216201139,market close,http://web.archive.org/web/20200216201139/https://www.wsj.com/
Wall Street Journal,U.S. Weighs New Move to Limit China’s Access to Chip Technology,20200217203001,market close,http://web.archive.org/web/20200217203001/https://www.wsj.com/
Wall Street Journal,Trump Commutes Blagojevich Sentence and Pardons Milken,20200218194604,market close,http://web.archive.org/web/20200218194604/https://www.wsj.com/
Wall Street Journal,China Struggles to Give Care to Patients Without Coronavirus,20200219195340,market close,http://web.archive.org/web/20200219195340/https://www.wsj.com/
Wall Street Journal,Morgan Stanley to Buy E*Trade in Bid for Small Investors,20200220202708,market close,http://web.archive.org/web/20200220202708/https://www.wsj.com/
Wall Street Journal,"Stocks, Bond Yields Drop on Worries About Coronavirus",20200221200455,market close,http://web.archive.org/web/20200221200455/https://www.wsj.com/
Wall Street Journal,Rivals Hope to Slow Sanders’s Rise in Nevada Caucuses,20200222195253,market close,http://web.archive.org/web/20200222195253/https://www.wsj.com/
Wall Street Journal,Sanders Becomes Clear Front-Runner After Nevada,20200223200009,market close,http://web.archive.org/web/20200223200009/https://www.wsj.com/
Wall Street Journal,Stocks Slide as Virus Cases Spread,20200224195616,market close,http://web.archive.org/web/20200224195616/https://www.wsj.com/
Wall Street Journal,"Stocks Slide, Treasury Yield Hits Low",20200225201648,market close,http://web.archive.org/web/20200225201648/https://www.wsj.com/
Wall Street Journal,"As Economy Suffers, China’s Xi Pressured to Ease Restrictions",20200226194818,market close,http://web.archive.org/web/20200226194818/https://www.wsj.com/
Wall Street Journal,"Stocks Fall, Nearing a Correction, as Virus Fears Show No Sign of Easing",20200227194735,market close,http://web.archive.org/web/20200227194735/https://www.wsj.com/
Wall Street Journal,Stocks on Track for Biggest Weekly Losses Since 2008,20200228195813,market close,http://web.archive.org/web/20200228195813/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200229200000,market close,N/A
Wall Street Journal,Biden Gets New Jolt From South Carolina Victory,20200301184201,market close,http://web.archive.org/web/20200301184201/https://www.wsj.com/
Wall Street Journal,Stocks Rally on Hopes for Stimulus Amid Virus Fears,20200302200814,market close,http://web.archive.org/web/20200302200814/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200303200000,market close,N/A
