site,title,snapshot_tstamp,market_tag,site_url
Wall Street Journal,U.S. Deploys Troops After Attempted Storming of Its Embassy in Baghdad,20200101132012,market open,http://web.archive.org/web/20200101132012/https://www.wsj.com/
Wall Street Journal,Global Stocks Launch Higher After Chinese Easing Move,20200102142311,market open,http://web.archive.org/web/20200102142311/https://www.wsj.com/
Wall Street Journal,U.S. Strike Ordered by Trump Kills Key Iranian Military Leader in Baghdad,20200103130007,market open,http://web.archive.org/web/20200103130007/https://www.wsj.com/
Wall Street Journal,Thousands March in Iraq for Iranian Commander Killed in U.S. Airstrike,20200104140924,market open,http://web.archive.org/web/20200104140924/https://www.wsj.com/
Wall Street Journal,Thousands March in Iraq for Iranian General as Trump Warns of More Strikes,20200105125357,market open,http://web.archive.org/web/20200105125357/https://www.wsj.com/
Wall Street Journal,Iranians Rally in Display of Unity as Calls for Revenge on U.S. Deepen,20200106135428,market open,http://web.archive.org/web/20200106135428/https://www.wsj.com/
Wall Street Journal,Stampede at Funeral Procession for Iranian Commander Kills Dozens,20200107132156,market open,http://web.archive.org/web/20200107132156/https://www.wsj.com/
Wall Street Journal,Iran Threatens Further Retaliation After Missile Strikes Against U.S.,20200108122754,market open,http://web.archive.org/web/20200108122754/https://www.wsj.com/
Wall Street Journal,"U.S., Iran Back Away From Open Conflict",20200109142705,market open,http://web.archive.org/web/20200109142705/https://www.wsj.com/
Wall Street Journal,"U.S. Added 145,000 Jobs in December; Jobless Rate Steady",20200110143514,market open,http://web.archive.org/web/20200110143514/https://www.wsj.com/
Wall Street Journal,Iran Blames Downing of Jet on Human Error,20200111135822,market open,http://web.archive.org/web/20200111135822/https://www.wsj.com/
Wall Street Journal,"Iran Faces Growing Criticism at Home, Abroad Over Crash",20200112140833,market open,http://web.archive.org/web/20200112140833/https://www.wsj.com/
Wall Street Journal,"Iran, Grappling With Unrest Over Crash, Warns Protesters",20200113134904,market open,http://web.archive.org/web/20200113134904/https://www.wsj.com/
Wall Street Journal,"U.S., China to Sign Deal Easing Trade Tensions",20200115133155,market open,http://web.archive.org/web/20200115133155/https://www.wsj.com/
Wall Street Journal,U.S. and China Face A Steep Climb to Meet Trade Goals,20200116135648,market open,http://web.archive.org/web/20200116135648/https://www.wsj.com/
Wall Street Journal,China’s Economic Growth Slows to Near 30-Year Low,20200117140316,market open,http://web.archive.org/web/20200117140316/https://www.wsj.com/
Wall Street Journal,CDC Removes Advice to Refrain From Vaping,20200118134811,market open,http://web.archive.org/web/20200118134811/https://www.wsj.com/
Wall Street Journal,House Democrats Outline Case for Removing Trump,20200119133910,market open,http://web.archive.org/web/20200119133910/https://www.wsj.com/
Wall Street Journal,Lev Parnas Paid His Way Into Donald Trump’s Orbit,20200120134026,market open,http://web.archive.org/web/20200120134026/https://www.wsj.com/
Wall Street Journal,Trump Impeachment Trial Set to Spark Clashes in Senate,20200121134504,market open,http://web.archive.org/web/20200121134504/https://www.wsj.com/
Wall Street Journal,Democrats Prepare to Make Case for Removing Trump From Office,20200122145324,market open,http://web.archive.org/web/20200122145324/https://www.wsj.com/
Wall Street Journal,Senators Dig In as Democrats Outline Impeachment Case,20200123131828,market open,http://web.archive.org/web/20200123131828/https://www.wsj.com/
Wall Street Journal,Democrats to Argue That Trump Tried to Block Impeachment,20200124154430,market open,http://web.archive.org/web/20200124154430/https://www.wsj.com/
Wall Street Journal,Trump’s Defense Set to Address Democrats’ Charges,20200125141755,market open,http://web.archive.org/web/20200125141755/https://www.wsj.com/
Wall Street Journal,China Urges Calm Over Virus During ‘Critical Period’,20200126140310,market open,http://web.archive.org/web/20200126140310/https://www.wsj.com/
Wall Street Journal,Bolton Claim Ties Trump to Aid Freeze,20200127131457,market open,http://web.archive.org/web/20200127131457/https://www.wsj.com/
Wall Street Journal,U.K. Allows Huawei to Build Parts of 5G Network,20200128135907,market open,http://web.archive.org/web/20200128135907/https://www.wsj.com/
Wall Street Journal,Boeing Posts Full-Year Loss Amid 737 MAX Setbacks,20200129141126,market open,http://web.archive.org/web/20200129141126/https://www.wsj.com/
Wall Street Journal,U.S. Economy Grew at 2.1% Rate in Fourth Quarter,20200130143616,market open,http://web.archive.org/web/20200130143616/https://www.wsj.com/
Wall Street Journal,GOP Senators Appear Likely to Block Witnesses in Impeachment Trial,20200131135035,market open,http://web.archive.org/web/20200131135035/https://www.wsj.com/
Wall Street Journal,Senate Rejects Witnesses in Trump Impeachment Trial,20200201125243,market open,http://web.archive.org/web/20200201125243/https://www.wsj.com/
Wall Street Journal,Coronavirus Kills Its First Victim Outside China as Toll Grows,20200202134935,market open,http://web.archive.org/web/20200202134935/https://www.wsj.com/
Wall Street Journal,Saudis Weigh Large Oil Cuts in Response to Coronavirus,20200203150641,market open,http://web.archive.org/web/20200203150641/https://www.wsj.com/
Wall Street Journal,Iowa Caucus Results Delayed by Counting Problems,20200204123414,market open,http://web.archive.org/web/20200204123414/https://www.wsj.com/
Wall Street Journal,"Buttigieg, Sanders Take Lead in Iowa",20200205131626,market open,http://web.archive.org/web/20200205131626/https://www.wsj.com/
Wall Street Journal,Senate Acquits Trump on Both Impeachment Articles,20200206133740,market open,http://web.archive.org/web/20200206133740/https://www.wsj.com/
Wall Street Journal,"U.S. Economy Added 225,000 Jobs in January",20200207135149,market open,http://web.archive.org/web/20200207135149/https://www.wsj.com/
Wall Street Journal,American Citizen With Coronavirus Dies in China,20200208134701,market open,http://web.archive.org/web/20200208134701/https://www.wsj.com/
Wall Street Journal,Coronavirus Death Toll Tops Fatalities From SARS,20200209135514,market open,http://web.archive.org/web/20200209135514/https://www.wsj.com/
Wall Street Journal,"Trump to Propose $4.8 Trillion Budget, Big Safety-Net Cuts",20200210134459,market open,http://web.archive.org/web/20200210134459/https://www.wsj.com/
Wall Street Journal,"Judge Rules for T-Mobile, Reshaping Wireless Sector",20200211140426,market open,http://web.archive.org/web/20200211140426/https://www.wsj.com/
Wall Street Journal,Sanders Edges Buttigieg in New Hampshire Primary,20200212135611,market open,http://web.archive.org/web/20200212135611/https://www.wsj.com/
Wall Street Journal,Barclays CEO Under Investigation Over Links to Epstein,20200213135135,market open,http://web.archive.org/web/20200213135135/https://www.wsj.com/
Wall Street Journal,China Sees Second Straight Jump in Virus Infections,20200214135936,market open,http://web.archive.org/web/20200214135936/https://www.wsj.com/
Wall Street Journal,U.S. to Repatriate Some Americans From Coronavirus Cruise Ship,20200215135429,market open,http://web.archive.org/web/20200215135429/https://www.wsj.com/
Wall Street Journal,White House Considers Halting GE Venture’s Engine Deliveries to China,20200216140116,market open,http://web.archive.org/web/20200216140116/https://www.wsj.com/
Wall Street Journal,"U.S. Cruise Ship Passengers Flown Home, 14 Infected With Coronavirus",20200217135741,market open,http://web.archive.org/web/20200217135741/https://www.wsj.com/
Wall Street Journal,"HSBC Plans to Cut 35,000 Jobs, $100 Billion of Assets",20200218135530,market open,http://web.archive.org/web/20200218135530/https://www.wsj.com/
Wall Street Journal,Democrats Set to Spar as Bloomberg Joins Debate Stage,20200219135823,market open,http://web.archive.org/web/20200219135823/https://www.wsj.com/
Wall Street Journal,Morgan Stanley Is Buying E*Trade in a $13 Billion Deal,20200220133730,market open,http://web.archive.org/web/20200220133730/https://www.wsj.com/
Wall Street Journal,Google Resists Demands From States in Ad Probe,20200221133235,market open,http://web.archive.org/web/20200221133235/https://www.wsj.com/
Wall Street Journal,Berkshire Hathaway Posts $29.2 Billion in Quarterly Earnings,20200222143004,market open,http://web.archive.org/web/20200222143004/https://www.wsj.com/
Wall Street Journal,Stocks Slide as Virus Cases Accelerate Outside of Asia,20200224141519,market open,http://web.archive.org/web/20200224141519/https://www.wsj.com/
Wall Street Journal,"U.S. Stock Futures Steady, Global Markets Choppy in Wake of Wall Street Selloff",20200225140941,market open,http://web.archive.org/web/20200225140941/https://www.wsj.com
Wall Street Journal,"U.S. Stock Futures Stabilize but Global Equities, Oil Fall",20200226140516,market open,http://web.archive.org/web/20200226140516/https://www.wsj.com/
Wall Street Journal,Stocks Fall as Virus Fears Show No Signs of Easing,20200227134954,market open,http://web.archive.org/web/20200227134954/https://www.wsj.com/
Wall Street Journal,Stocks on Track for Biggest Weekly Losses Since 2008,20200228140243,market open,http://web.archive.org/web/20200228140243/https://www.wsj.com/
Wall Street Journal,The Week That Wiped $3.6 Trillion Off the Stock Market,20200229140755,market open,http://web.archive.org/web/20200229140755/https://www.wsj.com/
Wall Street Journal,Biden Gets New Jolt From South Carolina Win,20200301142226,market open,http://web.archive.org/web/20200301142226/https://www.wsj.com/
Wall Street Journal,Global Stocks Volatile Despite Stimulus Hopes,20200302134010,market open,http://web.archive.org/web/20200302134010/https://www.wsj.com/
Wall Street Journal,Global Stocks Claw Back More Ground,20200303135114,market open,http://web.archive.org/web/20200303135114/https://www.wsj.com/
Wall Street Journal,"Biden Wins the South, Texas; Sanders Takes California",20200304130946,market open,http://web.archive.org/web/20200304130946/https://www.wsj.com/
Wall Street Journal,U.S. Stock Futures Drop as Anxiety About Virus Returns,20200305140451,market open,http://web.archive.org/web/20200305140451/https://www.wsj.com/
Wall Street Journal,Bonds Extend Rally as Investors Dump Stocks,20200306130605,market open,http://web.archive.org/web/20200306130605/https://www.wsj.com/
Wall Street Journal,Two Coronavirus Deaths in Florida as Infections Rise,20200307133951,market open,http://web.archive.org/web/20200307133951/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200308140000,market open,N/A
Wall Street Journal,Stock Markets Tumble as Trading Halt Lifts,20200309141055,market open,http://web.archive.org/web/20200309141055/https://www.wsj.com/
Wall Street Journal,Stocks Revive After Dow’s Worst Day in 12 Years,20200310132006,market open,http://web.archive.org/web/20200310132006/https://www.wsj.com/
Wall Street Journal,U.S. Stock Futures Decline as Volatility Increases,20200311132134,market open,http://web.archive.org/web/20200311132134/https://www.wsj.com/
Wall Street Journal,U.S. Stock Trading Is Paused Again as Rout Deepens,20200312140133,market open,http://web.archive.org/web/20200312140133/https://www.wsj.com/
Wall Street Journal,U.S. Stocks Jump After Dow’s Historic Rout,20200313134052,market open,http://web.archive.org/web/20200313134052/https://www.wsj.com/
Wall Street Journal,House Passes Legislation to Combat Coronavirus,20200314140805,market open,http://web.archive.org/web/20200314140805/https://www.wsj.com/
Wall Street Journal,"Passengers Back From Abroad Face Long, Crowded Lines at Airports",20200315135521,market open,http://web.archive.org/web/20200315135521/https://www.wsj.com/
Wall Street Journal,Stocks and Bond Yields Plummet After Fed Cut,20200316134735,market open,http://web.archive.org/web/20200316134735/https://www.wsj.com/
Wall Street Journal,U.S. Stocks Give Up Early Gains in Turbulent Trading,20200317140838,market open,http://web.archive.org/web/20200317140838/https://www.wsj.com/
Wall Street Journal,Snapshot missing (something happened),20200318140000,market open,N/A
Wall Street Journal,Coronavirus Testing Causes Chaos Across America,20200319133853,market open,http://web.archive.org/web/20200319133853/https://www.wsj.com/
Wall Street Journal,California Orders Lockdown for State’s 40 Million Residents,20200320135829,market open,http://web.archive.org/web/20200320135829/https://www.wsj.com/
Wall Street Journal,Downturn Could Cost 5 Million Jobs,20200321135556,market open,http://web.archive.org/web/20200321135556/https://www.wsj.com/
Wall Street Journal,"Coronavirus Cases Double in a Week to Pass 300,000",20200322135254,market open,http://web.archive.org/web/20200322135254/https://www.wsj.com/
Wall Street Journal,Fed Unveils Major Expansion of Market Intervention,20200323135022,market open,http://web.archive.org/web/20200323135022/https://www.wsj.com/
Wall Street Journal,U.S. Stocks Rise Following Turbulent Start to Week,20200324134522,market open,http://web.archive.org/web/20200324134522/https://www.wsj.com/
