site,title,snapshot_tstamp,market_tag,site_url
Yahoo Finance,Snapshot missing (something happened),20200101140000,market open,N/A
Yahoo Finance,Yahoo Finance LIVE,20200102140103,market open,http://web.archive.org/web/20200102140103/https://finance.yahoo.com/
Yahoo Finance,Oil jumps after US airstrike kills top Iranian,20200103111221,market open,http://web.archive.org/web/20200103111221/https://finance.yahoo.com/
Yahoo Finance,"Artificial intelligence will dominate 2020, according to IBM",20200104141310,market open,http://web.archive.org/web/20200104141310/https://finance.yahoo.com/
Yahoo Finance,How Pershing Square engineered a stellar 2019,20200105142138,market open,http://web.archive.org/web/20200105142138/https://finance.yahoo.com/
Yahoo Finance,What to watch in the markets: Week of January 6,20200106095716,market open,http://web.archive.org/web/20200106095716/https://finance.yahoo.com/
Yahoo Finance,The Iran crisis could bring a big economic problem,20200107135019,market open,http://web.archive.org/web/20200107135019/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200108151513,market open,http://web.archive.org/web/20200108151513/https://finance.yahoo.com/
Yahoo Finance,Geopolitically charged sell-offs are short-lived,20200109134632,market open,http://web.archive.org/web/20200109134632/https://finance.yahoo.com/
Yahoo Finance,"U.S. companies add 145,000 jobs",20200110133141,market open,http://web.archive.org/web/20200110133141/https://finance.yahoo.com/
Yahoo Finance,What Trump gets wrong about oil and Iran,20200111141529,market open,http://web.archive.org/web/20200111141529/https://finance.yahoo.com/
Yahoo Finance,Michael Rubin joins Influencers with Andy Serwer,20200112132849,market open,http://web.archive.org/web/20200112132849/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200113201259,market open,http://web.archive.org/web/20200113201259/https://finance.yahoo.com/
Yahoo Finance,Snapshot missing (something happened),20200114140000,market open,N/A
Yahoo Finance,Snapshot missing (something happened),20200115140000,market open,N/A
Yahoo Finance,Tech unicorns are in for more pain,20200116122627,market open,http://web.archive.org/web/20200116122627/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200117143519,market open,http://web.archive.org/web/20200117143519/https://finance.yahoo.com/
Yahoo Finance,Snapshot missing (something happened),20200118140000,market open,N/A
Yahoo Finance,Snapshot missing (something happened),20200119140000,market open,N/A
Yahoo Finance,Yahoo Finance to be live at the World Economic Forum,20200120134627,market open,http://web.archive.org/web/20200120134627/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200121134441,market open,http://web.archive.org/web/20200121134441/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200122142243,market open,http://web.archive.org/web/20200122142243/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200123140058,market open,http://web.archive.org/web/20200123140058/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200124144945,market open,http://web.archive.org/web/20200124144945/https://finance.yahoo.com/
Yahoo Finance,"2020 tax season kicks off, here's what you need to know",20200125152016,market open,http://web.archive.org/web/20200125152016/https://finance.yahoo.com/
Yahoo Finance,Influencers with Andy Serwer: Brian Moynihan,20200126123349,market open,http://web.archive.org/web/20200126123349/https://finance.yahoo.com/
Yahoo Finance,The best week to be a stock-picker is here,20200127125343,market open,http://web.archive.org/web/20200127125343/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200128140117,market open,http://web.archive.org/web/20200128140117/https://finance.yahoo.com/
Yahoo Finance,How Powell will answer questions about coronavirus,20200129131551,market open,http://web.archive.org/web/20200129131551/https://finance.yahoo.com/
Yahoo Finance,Yahoo Finance LIVE,20200130155508,market open,http://web.archive.org/web/20200130155508/https://finance.yahoo.com/
